Sample,Fiber Type,Pressure,Concentrate,Replicate (3 total),Thick,Grainy,Slippery,Crispy,Melting
1,Potato,50,3,1,6.4,1.6,1.4,0.7,5.8
2,Potato,50,3,2,6.4,1.7,1.2,1,5.2
3,Potato,50,3,3,7,1.6,1.8,0.9,5.7
4,Potato,90,3,1,7.3,1.5,1.2,0.8,5.5
5,Potato,90,3,2,7.1,1.3,1.5,1.1,5.8
6,Potato,90,3,3,7.1,1.1,1.5,0.7,5.8
,,,,,,,,,
7,Tomato,50,2,1,4.9,0,4.2,0,7.7
8,Tomato,50,2,2,4.8,0,4.3,0,7.5
9,Tomato,50,2,3,50,0,4.4,0,7.4
10,Tomato,50,3,1,5.1,0.3,4.3,0.3,7.2
11,Tomato,50,3,2,4.4,0.2,3.8,0.2,7.3
12,Tomato,50,3,3,5.4,0.2,4.2,0.2,7.4
13,Tomato,90,2,1,4.8,0,4.3,0,7.6
14,Tomato,90,2,2,5,0,4.3,0,7.2
15,Tomato,90,2,3,5.3,0.3,4.6,0.3,7.2
16,Tomato,90,3,1,5.3,0,4.3,0,7.4
17,Tomato,90,3,2,5.1,0,4.4,0,7.7
18,Tomato,90,3,3,5.6,0,4.7,0,
19,Apple,0,2,1,3.9,0.6,1.6,0.3,6.8
20,Apple,0,2,2,3.9,1.5,2,0.7,6.7
21,Apple,0,2,3,4,1.8,1.7,1.2,6.3
22,Apple,50,2,1,3.6,100,3.1,0.1,7.6
23,Apple,50,2,2,3.4,0,3,0,7.7
24,Apple,50,2,3,3.6,0.3,2.9,0,7.5
25,Apple,50,3,1,4.2,0,3.2,0,7.3
26,Apple,50,3,2,4,0.2,3.1,0,7.3
27,Apple,50,3,3,4.4,0.2,3.4,0,7.3
28,Apple,90,2,1,3.9,0,3.5,0,7.6
29,Apple,90,2,2,3.4,0,3,0,7.4
30,Apple,90,2,3,3.2,0,3,0,7.8
31,Apple,90,3,1,4.1,0,3.4,0,7.6
32,Apple,90,3,2,4.3,0,3.3,0,7.5
33,Apple,90,3,3,3.8,0.2,3.2,0,7.7
34,Carrot,0,2,1,4.2,4.6,0.3,5,4.4
35,Carrot,0,2,2,4.1,6,0,5.2,2.8
36,Carrot,0,2,3,3.9,5.8,0,5.7,2.8
37,Carrot,0,3,1,4,7,0,6.5,2.8
38,Carrot,0,3,2,4.4,6.9,0,6.4,2.6
39,Carrot,0,3,3,4.2,6.7,0,6.4,2.4
40,Carrot,50,3,1,4.4,2.2,0.8,2.1,5.1
41,Carrot,50,3,2,4.4,3.1,1.3,3,5.4
42,Carrot,50,3,3,4,3.7,1.2,3,4.9
,,,,,,,,,
,,,,average,11.14,6.28,1.22,0.52,7.41
